task,model,parameters,trials,ll,ibic,looic,rhat1.01,rhat1.1,notes
bandit,1,1,200,-151660.673,303326.6443173666,303321.3460000006,0.6672749391727494,0.6672749391727494,NA
bandit,2,2,200,-138680.37397555,277371.3445858331,278484.54026015714,0.00227998176014591,0,NA
bandit,3,3,200,-136711.89338025,273439.68171259965,275440.7376110987,0.05616338439095551,0.02552881108679795,NA
bandit,4,5,200,-134111.398690925,268249.28896868275,269776.2035127834,9.615967704209368e-4,0,NA
bandit,5,5,200,-127254.450678625,254535.39294408273,257248.2860739813,0.0296875,0.00677083333333333,NA
effort,1,1,64,-11896.44318,23797.04523718606,24383.1334,0.13175470552519733,0,NA
effort,2,3,64,-7167.25424,14346.985128830314,15564.9591,0,0,NA
effort,3,4,64,-9277.254186,18571.143903950935,40830.97,1,0.9997976118194696,NA
effort,4,4,64,-7143.861954,14304.35943998546,15521.4456,0.13726382881857502,0.003414523,poor traceplot
effort,5,5,64,-11405.98923,22832.77286602977,27176.945,1,1,NA
gamble,1,1,90,-17092.9968,34190.49340967033,34185.99,0,0,NA
gamble,2,2,90,-12178.31275,24365.62511720566,25304.3995,3.65e-5,0,NA
gamble,3,2,90,-11034.24868,22077.496972190664,23261.5218,0,0,NA
gamble,4,3,90,-10510.75885,21035.01711994049,22706.14,0,0,NA
gamble,5,4,90,-9948.347456,19914.69414972932,21919.467,0,0,NA
explore,1,1,300,-227637.1968,455280.0973429747,455868.2071,0,0,NA
explore,2,1,300,-74286.45503,148578.61384927464,149287.3,0,0,NA
explore,3,1,300,-101167.3738,202340.45145632463,208158.146,1,0.891317547,NA
explore,4,2,300,-68887.52918,137786.4659182993,139147.2524,3.64e-4,0,NA
explore,5,3,300,-106400.8215,212818.75430069063,324327.93,1,1,NA
rbias,1,1,100,-34726.6647,69457.93457018599,69453.32939999984,0.6673306772908366,0.6666666666666666,NA
rbias,2,1,100,-32585.652299,65175.90976818599,65692.35092241026,0,0,NA
rbias,3,4,100,-28202.49099120925,56423.40266316246,57792.98291749764,0.0011066843736166445,0,NA
rbias,4,5,100,-28203.18964757975,56429.40514608944,57796.968543292176,0.18308583846432452,0.18199927562477364,NA
rbias,5,4,100,-28552.287433031404,57122.995546806764,58784.77953751731,0.015050907481186366,0.0011066843736166445,NA
